year,text
2020,max_hii_densityspmaxhii_density file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsdata_containerspy line 789 in max rv self_compute_extremaf1 file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsdata_containerspy line 755 in _compute_extrema mi ma selfquantitiesextremafield file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsderived_quantitiespy line 542 in __call__ rv superextrema self__call__fields non_zero file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsderived_quantitiespy line 69 in __call__ storesult selfprocess_chunkds args kwargs file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsderived_quantitiespy line 549 in process_chunk field data_determine_fieldsfield0 file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsdata_containerspy line 1165 in _determine_fields finfo selfds_get_field_infounknown fname file homesslavcondaenvsytenvlibpython38sitepackagesytdata_objectsstatic_outputpy line 798 in _get_field_info raise ytfieldnotfoundftype fname selfytutilitiesexceptionsytfieldnotfound could not find field all hii_density in redshift0045
2020,hi shai this means that the field codesnippet isnt in your dataset beware that the field names are casesensitive you can inspect the field names by running codesnippet or codesnippet where ds is the dataset object
2020,thank you this has been very helpful
2018,user thanks you are a life saver
2018,hi very quick question for a complete ytbeginner here what should the argument of codesnippet be all i found in the documentation is aa not really helpful but that seems like a rare exception
2018,i think its either set to codesnippet or codesnippet
2018,thanks
2018,a quick patch fixing that docstring would be a great first pull request if youre interested totally cool if youre not though
2018,sure thing im cloning the repo atm
2018,still having a little trouble getting my vector fields recognized i added the fields i want explicitly herehyperlink and it seems like that proceeds fine but then they arent included in the codesnippet later
2018,seems like theyre being set as invalid somewhere but i cant seem to track down where any ideas
2018,sorry not sure any chance you can make an example one of us could run to trigger the issue youre running into
2018,yup will do
2018,code hyperlink output hyperlink code diff hyperlink
2018,i feel like im just missing something simple but i dont have intuition right now about how yt sets up and checks the fields
2018,takes a look
2018,ok so theres basically lots of fiddly issues that your script is hitting
2018,im able to get it to work if i modify your script to look like this hyperlink
2018,your fields didnt have units that was one of the issues the field machinery inside yt was also expecting field names like codesnippet so i had to change that too
2018,i also needed to make a number of modifications to the yt codebase
2018,or really just one change i guess
2018,codesnippetdiff git aytfieldsfield_detectorpy bytfieldsfield_detectorpyindex ad908933ea3a73857c 100644 aytfieldsfield_detectorpy bytfieldsfield_detectorpy 2048 20412 class fielddetectordefaultdict return selffield_parametersparam selfrequested_parametersappendparam if param in center normal or paramstartswithbulk return selfdsarr nprandomrandom3 1e2 selffp_unitsparam try return selfdsarr nprandomrandom3 1e2 selffp_unitsparam except keyerror if paramendswithvelocity return selfdsarrnprandomrandom3 1e2 cms elif param in surface_height return selfdsquan00 code_length elif param in axiscodesnippet
2018,we recently made it so all the vector fields respect the codesnippet field parameters
2018,but in so doing made things a bit more restrictive so its harder to set up what youre looking for
2018,this should definitely be made easier and nicer i still think we need something like codesnippet or something like that
2018,that handles all this mess automatically
2018,user does that sound reasonable
2018,i think so
2018,so in the part that you added if you wanted to be able to define an arbitrary vector field youd have to add a section that sets up a corresponding bulk parameter with the correct units
2018,or wed need to add a way for codesnippet to optionally not insist on defining a relative version of the field
2018,really we need something like a field parameter registry that people can register field parameters with so the field detection system knows about them
2018,right now the field detection system has to basically guess about field parameter names and units that people might want to use
2018,got it
2018,user yes its 2d i tried changing line 4 to zgrid nparray0005
2018,user did that help
2018,hm i am not sure if i understand if viridisdatashape is a 3d array then how do i display this data with imshow or contourf or anything else i have put what i thought i understood in this gist hyperlink is there a way to attach my original rgb image
2018,you could save it as a png and upload it to eg imgur
2018,you wouldnt display an rgb image with contourf
2018,youd use the original greyscale image
2018,i think imshow handles rgba arrays out of the box
2018,well yes it shows it but then i still dont know how to link a colormap to this rgb image did a drag and drop to imgur can you see this hyperlink
2018,sure
2018,sorry im not sure what you mean by link a colormap
2018,sorry im having issues with my python installation so its hard for me to reproduce what youre seeing exactly
2018,one sec
2018,ah ok
2018,so in your gist codesnippet is already an rgba image array
2018,yes from the start
2018,so it doesnt make sense to apply a colormap to it
2018,do you not have the original grayscale image anymore
2018,no i do not
2018,ah i see
2018,so you want to back out the grayscale image from the rgba image
2018,sort of yes but the danger is when going through the grayscale there may be double values that are cancelled out
2018,why do you not have the original image anymore
2018,im not sure what youre doing is welldefined
2018,it might be i guess if you know the colormap
2018,so i am not sure if there is an uncomplicated an quick way to convert the colors back into real data and then be able to manipulate and display that data
2018,yeah i think ideally youd want to have saved the original grayscale image
2018,i think i remember seeing a talk about doing something like this at scipy years ago
2018,let me see if i can find the talk
2018,ok
2018,hyperlink
2018,i dont know offhand if that code ever made it into a usable package
2018,hyperlink
2018,ah very cool let me dig into this
2018,thank you
2018,sounds like this will only plug into python27 i have already switched to 35 though
2018,yeah it hasnt been updated since 2013 it looks like
2018,i dont know offhand if theres anything like it thats more recently updated
2018,is it possible to have 27 and 35 running at the same time or is this not advisable
2018,i used to do that
2018,recently i switched to using pyenv
2018,you can definitely do that although it might get confusing which python python refers to
2018,i have two anaconda setups though the 27 one is just so i can use hg for a certain project
2018,same
2018,how do i install yoink
2018,hyperlink as cited in the setuppy does not exist
2018,yeah i don
2018,i dont think its been touched in five years
2018,you probably need to clone the repo
2018,btw these arent really yt questions it might be best to take this to eg stackoverflow instead of the yt slack
2017,user has joined the channel
2018,user has joined the channel
2018,hi are vtr files supported by yt how can i try and use yt with vtr files
2018,user whats a codesnippet file
2018,visualization toolkit rectilinear grid data
2018,user yesfyi hyperlink
2018,i dont think yt can parse generic vtk datafiles we only support specific flavors created by computational codes eg athena
2018,we dont have support for that format no
2018,this is the second time in a month weve had a similar request though adding support for more generic cfd formats would be a great project
2018,thats a shame i dont think its too difficult to do though there is a vtk library hyperlink they have reader functions then i guess that data just need to be fed correctly into yt might try and hack something like this for my purpose
2018,an optional dependency on vtk would certainly be the easiest approach
2018,especially with the modularization it might even make sense to work more closely with vtk functions in some cases
2018,im trying to make a phase plot of codesnippet vs codesnippet for a sphere object its easy to do codesnippet vs codesnippet for the sphere object but its tricky to extend this to include the free fall time the reason is that freefall time cannot be calculate on the fly for each gas cell as it is dependent on the codesnippet so i can make a bunch of spheres of different radii to calculate t_ff as a sphericallysymmetric profile but im not sure how to feed that back into the yt infrastructure to make the original desired phase plot of codesnippet vs codesnippet any ideas on how to do this crazy feat
2018,user use the profiles accumulation argument to get the enclosed mass as a function of radius
2018,user if you use a profile youll get the enclosed spherically symmetric at the same points as a similarly spaced phase
2018,user thats useful i had forgotten about the accumulation kwarg thanks but is there a way to put that enclosed mass profile info back into the data for the phase plot the issue is that there is a diversity of stuff going on in the halo and i dont want to flatten it into a single radial profile and lose all the structure seen in a full phase plot vs radius but maybe that isnt possible
2018,i guess i could read out the phase plot info out of the plot and manually combine it with the profile data and then out it back into a pcolormesh mpl instance maybe hmm ill try and report back
2019,i seem to be having some trouble with ytreerockstarconsistent treesi am not sure this is the best place to ask butusing something like a ytreeloadrockstar_halosout_0list gives me nodes but then aprog only returns the original entry treenode generating merger trees with consistent trees and loading them via a ytreeloadtree_0_0_0dat fixes this problem and allows me to find progenitorsdescendants however for some reason this changes the mass position etc of the original rockstar halos and i can no longer figure out which treenodes correspond to the halos i was originally interested in this is not the case if i take the approach given abovecan anyone help with either issue
2019,is it possible to do volume rendering the data in a 3d numpy array the data is either continuous or segmented only 0 or 1 in 3d
2019,user has joined the channel
2018,hi just wondering for a ray data is there a simple to do the integration along the ray rayintegrate seems to only work along the cartesian axis
2018,user good question i believe you need to manually integrate rays you can get the length from the field codesnippet
2019,hey is there a way to use yts plotting machinery at somehow a lower level i have a bunch of particles that id like to plot
2019,however i want to change their position by adding some noise
2019,i guess you could reload the particles using load_particles i dont think theres a way to modify particle fields in memory yt plots need to be created using a dataset or a yt data object so youll need to figure out how to get your data in that format
2019,or dont use yts plotting system at all and just use matplotlib
2019,sometimes thats easier than trying to get yts plotting system to work in a way that it wasnt really intended
2019,ok
2019,it might be interesting to think of modifying existing fields at some point in the future user wanted to do this as well last week with the coordinate fields to affect a global coordinate transform could be interesting but seems like a pretty deep change
2019,in that vein of setting fields to rotate my coordinates im trying to access a field i set within another field im defining and its returning a value thats different from what i set when i print it outside the function it existscodesnippetadset_field_parameterrotation_vectors adprincipal_axes_vectorsadget_field_parameterrotation_vectorsarray464385979e01 291482979e01 836291418e01 708714933e01 443966940e01 548285053e01 531101502e01 847308108e01 406318212e04codesnippetthen within the function im definingcodesnippetdef _rotate_coordinatesfield data if datahas_field_parameterrotation_vectors printreading rotation vectors rv dataget_field_parameterrotation_vectorsin_unitscms else rv datadsarrnpeye3 printthe rotation vectors are rv return get_coordinates_rotateddatacoordinates rvcodesnippetwhich when i call codesnippet printscodesnippetyt info 20190326 142614139 allocating for 2002e08 particles index particle type allyt info 20190326 142659358 identified 1257e07 octsreading rotation vectorsthe rotation vectors are 00codesnippet
2019,ah so this is because field parameters need to be scalars
2019,unless its a limited set that we have specifically enumerated in yt that can be nonscalar
2019,basically during the field detection process yt needs to have dummy values for field parameters
2019,but for field parameters yt doesnt know about yet it cant guess values with the proper shape
2019,the real fix for this is to add a field parameter registry to yt
2019,but that would take some work and is well beyond what you want
2019,another way to fix this is to use a global variable instead of field parameters
2019,sorry this is confusing this is something weve seen from other people in the past
2019,see_no_evil do you know how i could get a precomputed rotation matrix into my function codesnippet
2019,yes using a global variable
2019,ah sorry just saw that
2019,also out of curiosity why do you want to do this with a field
2019,like whats your ultimate goal here
2019,its possible that whatever youre trying to do can be accomplished without rotating the data
2019,im trying to put the simulation into the same frame as the ananke synthetic gaia survey of a latte simulation which is defined by a pre computed center center velocity and rotation matrix and then an lsr center and velocity
2019,ok but what ultimately do you want to do that would be sensitive to how the dataset is rotated
2019,oh and then reconstruct the metallicity weighted gas density on a grid of positions around that position at the same positions im inferring what my model thinks the metallicity weighted gas density is
2019,i think you could do that with an offaxis slice
2019,i want to feed a grid of positions into my model and the latte simulation and compare my prediction with the truth
2019,whats an offaxis slice
2019,i guess we dont have an api for nonaxisaligned covering grids that would be worth adding at some point
2019,you can create yt slices at arbitrary angles to the coordinate axes
2019,i have the properly rotated particles in a python array can i somehow add that to a yt dataset
2019,ytload_particles
2019,it has to fit in memory though
2019,oh it fits in memory
2019,be sure to pass a smoothing_length field to load_particles so it gets recognized as sph data
2019,awesome will try this route slightly_smiling_face
2019,also i dont think it would be terribly hard to optionally let people rotate particle data eg by passing a rotation matrix to ytload or something i think for particle data this is a reasonable feature request
2019,does it make sense to consider a rotation matrix in the codesnippet fields so its translation rotation
2019,ah yeah thats a good point they already respect normal_vector
2019,so guess thats what user wants up to a rotation
2019,user i think the name we standardized on was codesnippet
2019,ah yeah i was thinking of that one but forgot the name
2019,this is probably not too difficult to implement
2019,that field knows about codesnippet and codesnippet so its already implemented
2019,i guess it could also respect codesnippet
2019,ah thats even easier just need to wire them all up
2019,i think this would be a really good idea and could probably be implemented without touching too many bits in the code
2019,user or user what type of kernel does codesnippet use for generating the field at each position on the grid im trying to understand how to convert the smoothing lengths output from fire simulations to make the calculation accurate
2019,the default is a cubic spline kernel but its configurable
2019,hyperlink
2019,although i dunno offhand if the ability to use alternate kernels is exposed at the moment in the highlevel interface
2019,user if it works codesnippet spline kernel should be used for gizmo theres also a subtlety that when doing spatial interpolation gizmos normalization is different from usual sph computationally it is similar to the gather method since gather is already implemented by user it might be worth adding this gizmo method too
2019,ah i was hoping to use the codesnippet method because its faster but youre suggesting i should stick to codesnippet for normalization issues
2019,how big is your dataset i mean gather is certainly slower but it isnt too slow
2019,for visualization purpose codesnippet should be fine if youd like to keep as close as possible to what gizmo code would do theres a need to slightly modify codesnippet its not in yt yet but it wont be too difficult to implement the heavylifting is already done in the codesnippet code
2019,what is the subtlety is this instead of taking the kth neighbour
2019,heres the equation normal gather assumes omegax 1
2019,and a visual comparison
2019,hyperlink
2019,ah i see i didnt realise the smoothing length calculation was different
2019,i use traditional gather when analysing arepo or sph data i never worry too much about it maybe i should worry more
2019,the addition of gather is already a great improvement probably the gather method could be modified to optionally switch to the gizmo normalization
2019,yeah i guess its something which we can just switch on if we detect the ds is gizmo
2019,user if you have time and would like to contribute to yt this might be worth taking a further look
2019,no worries if you just want to use the code wed happy to implement these if you need the functionality
2019,issue created hyperlink
2019,how would one compute the normalization is it simply the smooth number density of particles within the kernel thats what i gathered no pun intended from the paper
2019,thanks for the details user i might punt this for the future work user suggests i just use a cubic sph kernel for my application
2019,user haha yeah i think so
2019,user no problem slightly_smiling_face for anyone interested to follow up ive created an issue hyperlink
2019,user when i do the dsarbitrary_grid example in the documentationcodesnippetarbitrary_grid dsarbitrary_grid00 00 00 099 099 099 dims128 128 128ag_density arbitrary_gridgas particle_densityag_densityshapecodesnippetit prints codesnippet which doesnt seem right shouldnt the shape be 1283
2019,also while i have your attention what are the units of codesnippet and codesnippet id like to make a grid on a 1 kpc box around the center of the simulation
2018,user has joined the channel
2018,hello yt community i having some difficulties creating a parallelized volume_render in yt essentially the problem occurs at the end of the codesnippet loop when the stored objects attempt to be recombined so all the processors have the same stored data i am simply launching the code codesnippet from the shell running in serial is no problem and works fine the python script and data are attached below any help would be greatly appreciated thanks
2018,stripped version of code
2018,
2018,and the error i am getting is codesnippetfile pelecodepele_make_movie_strippy line 30 in ltmodulegt for fr sto ds in enumeratetspiterstoragemy_scenes file usrlocallibpython27sitepackagesytdata_objectstime_seriespy line 283 in piter storagestorage dynamicdynamic file usrlocallibpython27sitepackagesytutilitiesparallel_toolsparallel_analysis_interfacepy line 520 in parallel_objects to_share datatype dict op join file usrlocallibpython27sitepackagesytutilitiesparallel_toolsparallel_analysis_interfacepy line 284 in passage return funcself args kwargs file usrlocallibpython27sitepackagesytutilitiesparallel_toolsparallel_analysis_interfacepy line 725 in par_combine_object selfcommsenddata dest0 tag0 file mpi4pympicommpyx line 1156 in mpi4pympicommsend file mpi4pympimsgpicklepxi line 174 in mpi4pympipympi_send file mpi4pympimsgpicklepxi line 104 in mpi4pympipickledump file mpi4pympimsgpicklepxi line 91 in mpi4pympipicklecdumps file usrlocallibpython27sitepackagesytdata_objectsdata_containerspy line 1040 in __reduce__ getattrself n for n in self_con_args codesnippet
2018,can you create an issue on github please
2018,that way we wont lose track
2018,sure thing
2018,ill try to take a look at this tomorrow
2018,thanks i just reported the problem on github
2017,user has joined the channel
2017,user has joined the channel
2020,i want to visualize amr data produced by amrex i dont like amrexs standard format because it creates too many files to be efficient can you recommend another generic amr file format that yt supports for example i can also produce silo data
2020,yt doesnt support silo data
2020,does it support some other similar format thats efficient
2020,im looking for blockstructured amr with vertexcellfaceedgecentred grids
2020,i dont know offhand
2020,hyperlink this page lists all the data formats yt supports
2020,have you tested working with the normal amrex format with yt or is the inefficiency on the application side not on the analysis side
2020,its inefficient when writing because there are so many files i have runs with gt10 million output files my file system quota stopped the run
2020,its not a yt problem at all
2020,fair enough
2020,fwiw writing a silo frontend has come up before
2020,i dont think theres anything blocking it besides an interested person to write the code
2020,its much easier to write a write hence my question is there a different format that yt understands
2020,i think the answer is no particularly if you need support for all those different kinds of centering schemes but someone might be able to correct me
2020,at the moment i am using codesnippet from hyperlink
2020,i agree the results should be closer i really think changing to eq 9 as is common in other codes doing similar things will be a step in the right direction i plan to implement this tomorrow locally and assess the differences
2020,alright i look forward to seeing if that improves things slightly_smiling_face
2020,hi there i just issued a pull request hyperlink which is a one line change from a collaborators fork is it preferable to do this from a branch within the yt repo
2020,nope you did the right thing
2020,thank you for the pr if youre interested in contributing more check out the development channel too slightly_smiling_face
2019,im having some difficulty extracting unit data from a dataset
2019,it seems to be stored in a dict but i cant seem to get it out
2019,anyone know how to pull what kind of unit code_length is from ds without having to use dsunit_systemsbase_units
2019,and pulling them out by hand
2019,like is there a way to just getcode_length and have it return cm
2019,user has joined the channel
2019,i cannot change the background color in a slice plot i have an exodus file to visualize where the geometry is in an xy plane in 3d so i just created a slice plot at z 0codesnippetds ytloadouteslc ytsliceplotds z c_o2 originnative width20 nmslcset_background_colorc_o2 colorblack slcsaveblack_backgroundcodesnippethowever the background color is still the minimum value color of the colorbar rouge in my case how could i change the background correctly
2019,are you certain that youre looking at the background and not an area that is contained within the dataset
2019,i think so the geometry shown in paraview is in the first attached picture and what i got with the background setting is the second one
2019,that is weird
2019,have you tried plotting it using matplotlib or some such
2019,i havent done that with matplotlib i am not sure if i can do that because i have an unstructured mesh
2019,user could you check if it works if you set the first argument in codesnippet to codesnippet my hunch is that it expects a tuple cause otherwise it sets it for a wrong field
2019,user i got codesnippet
2019,interesting looks like our docs are out of date
2019,user im not sure what the proper first component should be
2019,if you could docodesnippetds ytloadouteprintdsfield_listcodesnippet
2019,and see if theres something c_o2 field in there
2019,try to use that in set_background_color
2019,user ok
2019,actually while were both online at the same time is there any chance i could convince you to send me the data your working with im sorely lacking in unstructured mesh datasets
2019,just for testing sake
2019,user i just checked that i can reproduce that with a different dataset so it looks like a bug
2019,user theres a plenty of examples here hyperlink
2019,ah perfect thanks
2019,user you wouldnt happen to know off the top of your head how to get unit data would you
2019,user unit data
2019,user just fyi i tried codesnippet and codesnippet but they didnt work i have two blocks in my mesh
2019,if you load up a dataset and fetch a field the array it returns usually contains the units
2019,but in the form code_length or something like that
2019,is there a way to fetch the unit its actually using for code_length
2019,meaning cm or ft or whatever
2019,likewise the same questions exists for things like density temperature and angle
2019,user i dont know if theres a helper for that but you can do something like thatcodesnippetds ytloadlength dsquan1 code_lengthlengthin_cgscodesnippet
2019,it will print out 1 code_length in cms
2019,or codesnippet
2019,thats not really what i need thought it seems that the unit and the field are matched together in a dictionary type object
2019,temp k angle rads style
2019,and i cant seem to actually pull from the dictionary
2019,not sure i understand what you want to achieve
2019,let me take a screenshot that may help me explain it better im awful at explaining stuff
2019,see how every field length time mass ect has a unit that goes with it and this information seems to be stored in the ds object
2019,do you know a way to say get me length and have it return cm
2019,yt seems to be able to automatically find the appropriate units when plotting but im not having such luck
2019,wait
2019,i think i got it
2019,dsunit_systemlength
2019,nevermind
2019,yeah that does it earlier i was looking at the dictionary internally which seems harder to pull from
2019,dsunit_systemlength seems to work
2019,thanks for you help
2019,im not sure thats the thing youre looking for
2019,id need to check it on a dataset that doesnt use cgs
2019,user could you file an issue at hyperlink related to the background problem youre seeing
2019,my assumption is that the units would change if you use a different unit system
2019,user i will
2019,thank you
2019,user yup youre right im not really familiar with our unit system so i had to double check
2019,tanfastic that makes everything easier
2019,hyperlink shows how it works
2019,user i posted a new issues here hyperlink
2019,i am wondering if the function is collectedly implemented the background will be in that color all over the place or just outside the smallest rectangle which encloses the geometry
2019,quick followup to this user apparently this linecodesnippetspset_field_parameterbulk_velocity vx vy vzcodesnippetcauses problems downstream in eg projections unless you feed in a ytarray instead of a list for vxvyvz
2019,i had to add a couple lines to make everything work correctlycodesnippetfrom yt import ytarrayvelocities ytarrayvxvyvzspset_field_parameterbulk_velocity velocitiescodesnippet
2019,ah good point user
2019,thanks
2020,user has joined the channel
2018,user it works for me if i explicitly load as an amrexdataset
2018,
2018,got it that is much easier than i expected thank you
2018,user i guess we need a fancier _is_valid somewhere
2018,user yeah
2016,user has joined the channel
2019,user ive updated my pr this should do the work now
2018,hi everyone im installing yt on a new system using the codesnippet and it just failed for a numpy versioning thingcodesnippetinstalling the miniconda python environmentinstalling the necessary packages for ytthis may take a while but dont worry yt loves youinstalling pythoninstalling setuptoolsinstalling numpyinstalling jupyterinstalling ipythoninstalling sphinxinstalling gitinstalling gitpythoninstalling h5pyinstalling matplotlibinstalling cythoninstalling noseinstalling scipyinstalling astropyinstalling condabuildinstalling sympyinstalling netcdf4building yt from sourcesetting yt_dirhomechummelssrcytcondasrcytgit failure report self_add_defaults_ext file homechummelssrcytcondalibpython36sitepackagessetuptoolscommandpy36compatpy line 119 in _add_defaults_ext build_ext selfget_finalized_commandbuild_ext file homechummelssrcytcondalibpython36distutilscmdpy line 299 in get_finalized_command cmd_objensure_finalized file homechummelssrcytcondalibpython36distutilscmdpy line 107 in ensure_finalized selffinalize_options file setuppy line 317 in finalize_options if looseversionnumpy__version__ lt looseversion1104attributeerror module numpy has no attribute __version__codesnippet
2018,interesting
2018,yeah ive never seen this
2018,someone else hit the exact same thing today
2018,maybe its an issue with condaforge
2018,or wait
2018,did numpy remove that or something
2018,possibly
2018,tries running the install script
2018,so you set inst_yt_source1
2018,make any other modifications
2018,yup
2018,and astropy and scipy1
2018,thats it
2018,weird codesnippetgtgtgt import numpygtgtgt printnumpy__version__1133codesnippet
2018,are you running this on a supercomputer with a module system by any chance
2018,yes
2018,caltechs local cluster
2018,whats codesnippet
2018,i module loaded a python module
2018,ah can you try running with that unloaded
2018,but i figured wed override that
2018,i dont think we can
2018,with this local conda install
2018,module systems do funky things with injecting stuff into various environment variables
2018,sure i can unload that python install
2018,and retry
2018,there might be a way to do that but im not sure what it is
2018,one sec trying
2018,thanks for the suggestion
2018,hmm same error even using the default python install on the system py27
2018,not using the systemwide conda python install
2018,sorry what did you do
2018,error codesnippetawesome here we gousing curldownloading hyperlinkinstalling the miniconda python environmentinstalling the necessary packages for ytthis may take a while but dont worry yt loves youinstalling pythoninstalling setuptoolsinstalling numpyinstalling jupyterinstalling ipythoninstalling sphinxinstalling gitinstalling gitpythoninstalling h5pyinstalling matplotlibinstalling cythoninstalling noseinstalling scipyinstalling astropyinstalling condabuildinstalling sympyinstalling netcdf4building yt from sourcesetting yt_dirhomechummelssrcytcondasrcytgit failure report self_add_defaults_ext file homechummelssrcytcondalibpython36sitepackagessetuptoolscommandpy36compatpy line 119 in _add_defaults_ext build_ext selfget_finalized_commandbuild_ext file homechummelssrcytcondalibpython36distutilscmdpy line 299 in get_finalized_command cmd_objensure_finalized file homechummelssrcytcondalibpython36distutilscmdpy line 107 in ensure_finalized selffinalize_options file setuppy line 317 in finalize_options if looseversionnumpy__version__ lt looseversion1104attributeerror module numpy has no attribute __version__codesnippet
2018,so you used the install script with the default python
2018,what
2018,whats your codesnippet
2018,so i unloaded the python module codesnippet
2018,and then my python is just the default python installation on the system which is 27
2018,and then reran the installer
2018,and got the error above
2018,can i see the output of codesnippet
2018,codesnippetgtgtgt import numpygtgtgt printnumpy__path__usrlib64python27sitepackagesnumpycodesnippet
2018,codesnippetchummelswheeler src module listcurrently loaded modulefiles 1 hdf51817 2 gcc530 3 gsl21 4 openmpi201codesnippet
2018,im running the install script over here lets see if i trigger this
2018,ok cool
2018,just on my mac
2018,yeah fair enough
2018,i havent installed it locally for a while so i wasnt sure if this was a new global bug or if it was just some problems on this machine
2018,someone else reported this exact issue today
2018,its possible that they modified the numpy version
2018,i havent seen it before today
2018,but codesnippet definitely exists on the latest release of numpy
2018,where was the other person finding this error what sort of system cluster
2018,it was a cluster yeah
2018,look at c046hvb59particles
2018,ok
2018,can you show me the output of codesnippet
2018,sure
2018,
2018,these are all just defaults i havent messed with anything yet
2018,i dont see anything particularly suspicious
2018,seems to have not crashed on my machine
2018,yeah seemed reasonable to me
2018,did it get to actually installing yt from source
2018,yes its building yt
2018,my error occurred as soon as it started on that step
2018,so i guess it must be a bug specific to clusters or something
2018,weirdness
2018,you could try doing what the install script does but just manually
2018,eg install miniconda3 in your home directory
2018,edit your path
2018,and install yts dependencies into that new environment then build yt
2018,if it dies thats something you can take to your sysadmin
2018,i can give that a shot
2018,ill try and report back
2018,thanks for the suggestions
2018,can you link me to this script ive never heard of it before
